product_category,product_name,product_description
Sale,Nico Armchair,"Nico Armchair's tailored yet pillowy form is the quintessence of luxury and a favorite in European design. Polished stainless steel framing gives a modern upgrade to the classic style. Enjoy the sumptuous all-around cushioning filled with three layers of high-density foam and topped with premium goose feathers. The plush, rounded form is a striking contrast to the square frame and industrial flair. Complete your armchair with your choice of custom upholstery."
Sale,Liza Coffee Table,"The Liza Coffee Table brings form and function to the great outdoor and indoor spaces. With its clean and simple, low-profile design, the Liza anchors any space. Made of beautifully polished stone top and striking matte black metal legs, Liza creates an airy float-like feel to any living space."
Sale,Everett Outdoor Daybed,"Surround yourself with the tranquil feel of the Everett Outdoor Daybed. With its contemporary silhouette and sumptuous cushioning, the Everett inspires an atmosphere of modern elegance in any outdoor living space. Enjoy as a preset configuration or customize your own design by purchasing pieces separately."
Sale,Vonn Lounge Chair - Swivel,"The spectacle of the Vonn Lounge Chair will envelop you into an atmosphere of sumptuous comfort. With its unparalleled silhouette and meticulous stitching, the Vonn captivates with its luxuriant character."
Sale,Cascadia Desk,"Relish in the captivating spirit of the Cascadia. Uniting luxurious sophistication with an understated design, the Cascadia Desk illuminates any space with its smooth contours and unparalleled silhouette."
Sale,Womb Chair,"The Womb Chair was created after Florence Knoll requested Eero Saarinen design a chair that was ""like a basket full of pillows - something she could really curl up in"". The iconic design owes much of its popularity to the simple, sweeping structure with indented armrests and movable cushions that enable you to lounge, sit upright or slouch, in whichever way you desire. The chair offers a comforting sense of security that is derived from the shape of the shell rather than its cushioning. This reproduction is also available as a set with the Womb Ottoman."
Sale,Maria Side Table,"Designed exclusively by Maria Sharapova for Rove Concepts. Like a statue in a grand space, this stunning, modern side table stands out with its monumental design and sophisticated aesthetic. The soft curves crafted from durable white concrete bestows a refined radiance upon the pedestal base."
Sale,Arya Loveseat - Compact,"Recline into a unity of contemporary design and minimalist values with the Arya Loveseat - Compact. A plush back and seat elegantly curves inwards, brimming with layers of high-density cushioning. Uncluttered and endlessly inviting, this piece offers a deep seat and angled back to take advantage of a clean design and tempting cushions. The Arya Loveseat - Compact embodies the fundamental elements of modern design and effortlessly adds sleekness to any space."
Sale,Terra Modular Coffee Table,The art of modern architecture is brought to life through the Terra Modular Coffee Table. The captivating sharp angles and luxuriant materials of the Terra will transport you to an atmosphere of sophisticated warmth in any space. Pair with any of our expansive modular sectionals for a grandiose and elegant living room.
Sale,Maria Coffee Table,"Designed exclusively by Maria Sharapova for Rove Concepts. Like a statue in a grand space, this stunning coffee table stands out with its monumental design and sophisticated aesthetic. The soft curves crafted from concrete bestows a refined radiance upon the wide pedestal base."
Sale,Everett Outdoor Sectional Sofa,"Surround yourself with the tranquil feel of the Everett Outdoor Sectional Sofa. With its contemporary silhouette and sumptuous cushioning, the Everett inspires an atmosphere of modern elegance in any outdoor living space. Enjoy as a preset configuration or customize your own design by purchasing pieces separately."
Sale,Mika Outdoor Modular Sectional,"Discover an atmosphere of relaxation and refinement with our Mika Outdoor Modular Sectional. Featuring distinctive plush angles and linger-worthy seats, wrapped in UV resistant fabric the Mika evokes a sense of grace and sophistication. Grounded by low profile metal legs, our Mika Modular Collection was made for laid-back, inviting entertaining."
Sale,Nobi Outdoor Daybed,"Distinguished by its sophisticated, timeless elegance the Nobi Outdoor Daybed pays tribute to modern Italian design. With its curved silhouette, sleek frame, and floating expression, the Nobi creates a perfect blend of style and comfort."
Sale,Louis Outdoor Loveseat,"Dressed in structured lines and a durable black powder coated frame, the Louis Outdoor Loveseat embodies relaxed, coastal-inspired expressions. Designed with comfort and durability in mind, the Louis collection features fast dry foam cushions in cool toned UV resistant fabric and teak wood accents; perfect for turning any outdoor space into a modern sanctuary."
Black Label,Liza Coffee Table - Marble (Black Label) 2022,"It's the quiet luxury of filling the home with beautifully crafted pieces. With the clean, architectural design the Liza Coffee Table creates a story of refined opulence only the exclusive few may experience."
Black Label,Augustus Desk (Black Label),"A sign of the past shaping the present, the sleek and radiant composition accentuates the minute detailing of the reimagined Augustus. Revealing a remarkably monumental silhouette, the Augustus Desk inspires an indulgent tone of sophistication in any space."
Black Label,Uma Floor Lamp (Black Label),"A sense of renewal comes forth in the Uma Floor Lamp. Illuminating, the gleaming tones and modern composition of the Uma create an overwhelming sense of sophisticated elegance."
Black Label,Gia Desk (Black Label),"Discover an atmosphere of sophisticated luxury with the architectural silhouette of the Gia. Unlike any other, the cascading top unites with the striking marble base for an unparalleled, grandiose feel of modern elegance in any space."
Black Label,Liza Side Table (Black Label),"It's the quiet luxury of filling the home with beautifully crafted pieces. With the clean, architectural design the Liza Side Table creates a story of refined opulence only the exclusive few may experience."
Black Label,Georgio Standing Desk,"A lustrous atmosphere in opulent tones. Distinguished by the enigmatic and captivating spirit of the Georgio Standing Desk, the gleaming brass and impeccable slat detailing align perfectly to imbue a sense of timeless elegance in any space."
Black Label,Terra Modular Coffee Table (Black Label),The art of modern architecture is brought to life through the Terra Modular Coffee Table. The captivating sharp angles and luxuriant materials of the Terra will transport you to an atmosphere of sophisticated warmth in any space. Pair with any of our expansive modular sectionals for a grandiose and elegant living room.
Black Label,Georgio Conference Table,"A lustrous atmosphere in opulent tones. Distinguished by the enigmatic and captivating spirit of the Georgio Conference Table, the gleaming brass and impeccable slat detailing align perfectly to imbue a sense of timeless elegance in any space."
Black Label,Augustus Standing Desk,"A sign of the past shaping the present, the sleek and radiant composition accentuates the minute detailing of the reimagined Augustus. Revealing a remarkably monumental silhouette, the Augustus Standing Desk inspires an indulgent tone of sophistication in any space."
Black Label,Evelyn Dining Table (Black Label),"An emblematic expression of timeless elegance, the Evelyn will transport you in an atmosphere of sophisticated luxury with its monumental and classic shape."
Black Label,Romulus Nesting Coffee Table,"A symbol of tranquility and sophistication, the Romulus Nesting Coffee Table creates an overarching sense of modernity. Distinguished by its round top and contrasting trapezoid base, the Romulus creates a grandiose feel refined elegance in any space."
Black Label,Tiberius Table,"Borrowing elements from Roman architecture; the grand, monumental silhouette of the Tiberius is meticulously crafted with opulently refined materials, creating a sense of timeless elegance."
Black Label,Valerian Coffee Table,"It’s the refined elegance of artfully curating the perfect piece for the home. An atmosphere of quiet luxury that permeates throughout any space. Evoking an intriguing and mystifying essence, the Valerian Coffee Table offers a sense of opulence only a few will experience."
Black Label,Maximus Round Table,"Like the remarkable architecture of Ancient Rome, the Maximus Round Table astonishes with its sublime silhouette. Characterized by the three pillars and sumptuous materials, the Maximus transcends the limits of modern design."
Black Label,Terzo Table,"Inviting a sense of endless sophistication, the effortless elegance of the Terzo Table quietly tells the story of simplicity and luxury uniting harmoniously. Subtle yet refined, the Terzo creates an overarching feel of grandeur in any room."
Black Label,Constantine Coffee Table,"Layered in a mosaic of gleaming marble and brass, the Constantine captivates with the unique silhouette and exclusive materials."
Decor,Square Throw Pillow,Add character and coziness to any space with throw pillows in your choice of fabric. Filled with goose feathers for soft support.
Decor,Nova Pouf - Large,"The Nova Pouf - Large is a multi-functional piece that can be used as occasional seating or a footrest. It is also perfect as a coffee table when used with a tray. Softly padded for a comfortable seat and available in multiple fabric and color options, the Nova is the ideal accent piece to complete your space."
Decor,Maria Rug,"Designed exclusively by Maria Sharapova for Rove Concepts, echoing a sense of nature the warm tones and intricate details of this rug create an overarching feel of serenity. Composed of woven hemp and delicate fringe design for a tactile finish, the Maria Rug adds a sense of warmth and depth to any living space."
Decor,Nova Pouf,"A complimentary piece to its larger counterpart, this size is raised slightly higher and kept narrower than our large version. The Nova Pouf acts as the perfect upholstered stool or cushioned side table. Softly padded for a comfortable seat and available in multiple fabric and color options, the Nova is the ideal accent piece to complete your space."
Decor,Iris Table Lamp - High,"Touched with sophisticated grace, the soft glow of the Iris Table Lamp High delivers a flood of ambient light in any space. While the refined tones of the smooth marble and translucent round glass shade enhance the slim silhouette of the Iris with elegance."
Decor,Iris Table Lamp - Low,"Touched with sophisticated grace, the soft glow of the Iris Table Lamp Low delivers a flood of ambient light in any space. While the refined tones of the smooth marble and translucent round glass shade enhance the slim silhouette of the Iris with elegance."
Decor,Bosco Floor Lamp,"Indulge your senses in the inimitable and refined ambiance of the Bosco Floor Lamp. Punctuated by the monumental silhouette and sophisticated glow, the Bosco stands out in any space with its captivating nature."
Decor,Uma Floor Lamp,"Illuminating, like the moon on a clear night, Uma captivates with its elegant composition of smooth marble and gleaming metal frame. A quintessential piece, the Uma Floor Lamp creates a harmonious glow in any space."
Decor,Iris Floor Lamp,"Touched with sophisticated grace, the soft glow of the Iris Floor Lamp delivers a flood of ambient light in any space. While the refined tones of the smooth marble and translucent round glass shade enhance the slim silhouette of the Iris with elegance."
Decor,Asha Rug – Rectangular,"With its soft expression and subtle details, the Asha Rug evokes the supple feeling of walking on a cloud. Inspired by the skilled artisans from the Ushak region of Turkey, these hand-tufted rugs made of sumptuously plush viscose add elegance and warmth to spaces large and small alike."
Decor,Liza Floor Lamp,"The Liza Floor Lamp brings form and function to the modern home. With its clean and simple, architectural design, the Liza anchors any space. Made of beautifully polished marble, the Liza creates a feel of refined elegance in any setting."
Decor,Iris Pendant,"Touched with sophisticated grace, the soft glow of the Iris Pendant delivers a flood of ambient light in any space. While the refined tones of the smooth marble and translucent round glass shade enhance the slim silhouette of the Iris with elegance."
Decor,Russo Table Lamp,"Mesmerizing, like the sun after a rain shower, the Russo casts a warm, effervescent glow. Emphasized by the clean silhouette and lavish materials, the Russo Table Lamp offers a sense of modern elegance in any room."
Decor,Iris Sconce,"Touched with sophisticated grace, the soft glow of the Iris Sconce delivers a flood of ambient light in any space. While the refined tones of the smooth marble and translucent round glass shade enhance the slim silhouette of the Iris with elegance."
Decor,Roma Pendant,"Embrace a moment of tranquility with the Roma. Characterized by the architectural lines and refined brass detail, making for an elegant luminary. Create an atmosphere of sophisticated warmth in any space with the Roma Pendant."
Decor,Sola Rug,"Captivating, the Sola Rug will transport you to an atmosphere of refined luxury. Accentuated by the minimal embossed pattern design the Sola adds a touch of luxuriant charm and depth to any space."
Decor,Ezra Rug,"Revealing in its unique character, the Ezra Rug invites you to dive into an atmosphere of pure sophistication with its asymmetrical silhouette. Featuring a multi-colored design and striking black border, the Ezra is a refreshing take on the classic rug."
Decor,Wes Rug,"Step onto the luxuriously supple feel of the Wes Rug. Distinguished by its minimal design and prominent black border, the Wes Rug adds a sense of sophisticated warmth to any space large and small alike."
Decor,Isla Sconce,"Like a beacon in the night, the warm glow of the Isla Sconce will guide you to an unparalleled atmosphere of refined sophistication. Accentuated by the gleaming metal frame and the soft radiance of the glass globe, the Isla stands out in any space with its captivating spirit."
Decor,Uma Sconce,"Illuminating, like the moon on a clear night, Uma captivates with its elegant composition of frosted white globes and gleaming metal frame. A quintessential piece, the Uma Sconce creates a harmonious glow in any space."
Decor,Mila Mirror,"Bordered with a delicate frame of smooth metal, the Mila Mirror is an understated essential. Brightening any room with its minimalist and sophisticated silhouette, whether it’s hung over the vanity, bathroom sink or even in the living room, the Mila provides reflection whenever needed."
Decor,Aura Table Lamp,"Like a sunset, the Aura Table Lamp creates beauty wherever it shines. This contemporary lamp, made of gleaming brass, rich black marble, and halo-like bulb, play on the motifs of radiance and shape. The Aura Table Lamp casts an overarching feel of sophisticated elegance in any room."
Decor,Finn Mirror,"The nature of glass has the ability to transform small spaces into larger rooms, while the texture of natural wood creates a type of Scandinavian warmth. A beautiful piece designed for propping effortlessly against expansive walls, the Finn Mirror is both a practical object and decorative object of desire."
Office,Flag Halyard Ottoman,"Built with a solid stainless steel frame and textured flag line, this modern industrial beauty is inspired by its lounge chair counterpart. This unique ottoman comes with an Australian long-haired sheepskin to lay on top of the piece for a cozy and luxurious touch. A perfect match with the Flag Halyard Chair or equally stunning alone as a statement piece."
Office,Augustus Sideboard,"Create an effortlessly cool, contemporary space with the soft tones of our marble topped Augustus Sideboard. The white marble top is grounded with a black solid metal base. Featuring a simple warm walnut veneer, delicate gold detailing, and modern dark cabinet fronts; the Augustus will add a touch of timeless elegance to any space."
Office,Womb Chair and Ottoman,"The Womb Chair and Ottoman was created after Florence Knoll requested Eero Saarinen design a chair that was ""like a basket full of pillows - something she could really curl up in"". The set owes much of its popularity to the simple, sweeping structure with indented armrests and movable cushions that enable you to lounge, sit upright or slouch, in whichever way you desire. The chair offers a comforting sense of security that is derived from the organic shape of the shell rather than it's cushioning."
Office,"Bennett Media Console - 55""","The Bennett Media Console is a modern luxury piece with hints of industrial trend and contemporary flare. A sleek, tailored design, Bennett is well suited for a sophisticated home that yearns for a touch of gold. Handsome American walnut veneer and characteristic black detailing balance confidence with mature subtlety. The Bennett Media Console is available in two sizes."
Office,Massimo Desk,"Step into the luxuriant feel of the Massimo Desk, a modern take on the traditional office desk. The charming and captivating silhouette combined with the elegant marble accent, rich walnut veneer, and tambour detailing will inspire refined sophistication in any space."
Office,"Bennett Media Console - 83""","The Bennett Media Console is a modern luxury piece with hints of industrial trend and contemporary flare. A sleek, tailored design, Bennett is well suited for a sophisticated home that yearns for a touch of gold. Handsome American walnut veneer and characteristic black detailing balance confidence with mature subtlety. The Bennett Media Console is available in two sizes."
Office,Cascadia Desk,"Relish in the captivating spirit of the Cascadia. Uniting luxurious sophistication with an understated design, the Cascadia Desk illuminates any space with its smooth contours and unparalleled silhouette."
Office,Flag Halyard Chair,"Perfectly balanced and built with a solid stainless steel frame and 240 meters of textured flag line, this modern industrial beauty upholds the iconic style of the original Danish design. As Hans Wegner conceived the idea for this chair while at the beach, the wide-set and low frame is naturally perfect for an afternoon rest, especially when matched with the cozy comfort of a sheepskin throw and down feather filled headrest."
Office,Athena Desk,"The modern, fresh, and captivating embodiment of the Athena Desk sweeps you into a whirlwind of delight and sophistication. Combining everyday functionality with unparalleled design through the elegant composition and luxuriant materials, the Athena softly brings a sense of refined grace to any office space."
Office,Angelo Lounge Chair,"The timeless silhouette of the Angelo Lounge Chair exudes luxury within any home. Sleek black steel legs wrap around a robust and accommodating seat complementing our premium filled backrest. Angelo's chic ambiance creates an indulgent lounging experience, adding to your home's overall aesthetic. Bring Italian inspired design home with this modern piece available in your choice of premium upholstery."
Office,Augustus Desk,"A fresh and avant-garde take on office furniture, the Augustus Desk elevates any space. The subtle brass metal detailing enhances the luxurious marble base. While the smooth top available in walnut, matte black or white lacquer adds a touch of modern utility. Combine with the Augustus Storage Unit for the ultimate office space."
Office,Angelo Office Chair,"The timeless silhouette of the Angelo Office Chair exudes luxury within any office setting. The sleek black metal base complements the robust and accommodating seat featuring our premium filled backrest. Angelo's chic ambiance creates an indulgent work experience, adding to your space's overall aesthetic. Bring Italian inspired design to your office space with this modern piece available in your choice of premium upholstery."
Office,Mia Office Chair,"Discover a sense of sophisticated luxury with the sculptural shape of the Mia Office Chair. A fresh take on the traditional office chair, the softly upholstered curves, and the intricate details of Mia creates a grandiose feel of modern elegance in any office setting."
Office,Julian Office Chair,"Touched with luxuriant charm, the structured silhouette of the Julian Office Chair portrays an air of sophistication. Blending sharp lines, modern details, and two-toned upholstery in perfect harmony, the Julian adds a new dimension to any office setting. Pair with any of our contemporary desks to complete your space."
Office,Gia Storage,"Breathtaking and intriguing, the Gia draws you in with its elegant and architectural silhouette. Like a waterfall, the smooth walnut cascades down the sides while the marble top anchors the storage unit. The Gia Desk Storage combines functionality and luxury into any space. Pair with the Gia Desk for the ultimate workspace."
Office,Rocco Office Chair,"The Rocco Office Chair, an expression of elegance and sophistication. A chair that is both classic and modern, charming and inviting. The smooth understated shape, accentuated by the plush fabrics and sumptuous finishes creates a sublime atmosphere in any space. Sink into the satisfyingly luxurious comfort with the Rocco collection, also available in an armchair version."
Office,Hunter Storage Unit,"Modern storage solutions, reconceptualized. The Hunter's structured frame and clean lines of the hand pulls establish a sense of functional opulence. A complimentary piece to the Gia Desk, the Hunter Desk Storage is available in American walnut, high gloss white lacquer or matte black finish with a reflective white glass top for an unexpectedly cool contrast."
Office,Augustus Storage Unit,"A fresh and avant-garde take on office furniture, the Augustus Storage Unit elevates any space. The subtle brass metal detailing enhances this modern storage unit. The Augustus is available in walnut, matte black or white lacquer adds a touch of modern utility. Combine with the Augustus Desk for the ultimate office space."
Outdoor,Leia Coffee Table,The luxurious and modern notes of the Leia Coffee Table carries an air of sophistication and versatility to elevate any space. With its architectural lines and soft tones of the polished stone celebrates the timeless elegance of this sculptural piece. The Leia makes a perfect accompaniment to any sofa or sectional.
Outdoor,Gallus Coffee Table,"A spectacle of sculptural figures and durable, natural materials come together to form harmoniously in the Gallus Coffee Table. Celebrating timeless elegance with its curved form and fluted detailing, the Gallus brings grace and sophistication to any space."
Outdoor,Francis Outdoor End Table,"Incorporate modern simplicity into any outdoor living space with our Francis Modular collection. Made of high performance materials and a teak slat styled table; the Francis End Table is perfect for relaxing with a book or a glass of wine on a calm summer night. Use alone as an end table or incorporate with other modules, the Francis is flexible for any space."
Outdoor,Cascadia Coffee Table,"Relish in the captivating spirit of the Cascadia. Uniting luxurious sophistication with an understated, modern design, the Cascadia Coffee Table illuminates any space with its smooth contours and unparalleled silhouette."
Outdoor,Maria Side Table,"Designed exclusively by Maria Sharapova for Rove Concepts. Like a statue in a grand space, this stunning, modern side table stands out with its monumental design and sophisticated aesthetic. The soft curves crafted from durable white concrete bestows a refined radiance upon the pedestal base."
Outdoor,Leia Side Table,The luxurious and modern notes of the Leia Side Table carries an air of sophistication and versatility to elevate any space. With its architectural lines and soft tones of the polished stone celebrates the timeless elegance of this sculptural piece. The Leia makes a perfect accompaniment to any sofa or sectional.
Outdoor,Francis Outdoor Left Chaise,"Incorporate modern simplicity into any outdoor living space with our Francis Modular collection. Made of high performance materials and a built-in teak slat styled table; the Francis Left Chaise is perfect for relaxing with a book or a glass of wine on a calm summer night. Use alone as an armless sofa or incorporate with other modules, the Francis is flexible for any space."
Outdoor,Linnea Outdoor Lounger,"Escape from city life with this simple modern design. The lovely Linnea Outdoor Lounger is inspired by Scandinavian summers, with a natural minimalism that has the perfect touch of character. Constructed with performance fabric and beautiful teak wood accents for longevity."
Outdoor,Spencer Outdoor Lounger,"Rest easy in the Spencer Lounge Chair, featuring a plush head cushion and three adjustable positions for effortless relaxation. Finished with UV resistant fabric and a fade resistant powder coated metal frame, the Spencer Lounge Chair elevates any outdoor living space."
Outdoor,Preston Outdoor Lounger,"Recline into ultimate relaxation with the Preston Lounger. Made to last, the Preston features a matte powder coated metal frame and UV resistant mesh fabric. Position upright or lay flat with four adjustable positions and available in two colors options. The Preston is perfect for relaxing, reading or basking in the sun all summer long."
Outdoor,Louis Outdoor Armchair,"Dressed in structured lines and a durable black powder coated frame, the Louis Outdoor Armchair embodies relaxed, coastal-inspired expressions. Designed with comfort and durability in mind, the Louis collection features fast dry foam cushions in cool toned UV resistant fabric and teak wood accents; perfect for turning any outdoor space into a modern sanctuary."
Outdoor,Louis Outdoor Loveseat,"Dressed in structured lines and a durable black powder coated frame, the Louis Outdoor Loveseat embodies relaxed, coastal-inspired expressions. Designed with comfort and durability in mind, the Louis collection features fast dry foam cushions in cool toned UV resistant fabric and teak wood accents; perfect for turning any outdoor space into a modern sanctuary."
Outdoor,Arya Outdoor Modular Sofa with Open End,"Recline into a unity of contemporary design and minimalist values with the Arya Outdoor Modular Sofa with Open End. Perfect for relaxing with a book or a glass of wine on a calm summer night. The plush back and seat elegantly curves inwards, brimming with layers of sumptuous cushioning. Uncluttered and endlessly inviting, this piece offers a deep seat and angled back to take advantage of a clean design and tempting cushions. The Arya embodies the fundamental elements of modern design and effortlessly adds sleekness to any outdoor setting."
Outdoor,Dresden Outdoor Sectional Sofa,"Compelling in its simple yet cutting edge style, the Dresden Outdoor Sectional Sofa brings a fresh perspective to contemporary outdoor living. The sleek, low profile frame is met with grand cloud-like seat cushions to create the statement making structure. The Dresden also balances the expansive seating with an interchangeable side table insert that is offered in a variety of finishes. Grounded on aluminum metal legs, this piece's thoughtful composition demonstrates an exceptional opportunity for modern luxury in any outdoor space."
Outdoor,Liza Coffee Table,"The Liza Coffee Table brings form and function to the great outdoor and indoor spaces. With its clean and simple, low-profile design, the Liza anchors any space. Made of beautifully polished stone top and striking matte black metal legs, Liza creates an airy float-like feel to any living space."
Outdoor,Spencer Outdoor Dining Table,"Modern simplicity, with an emphasis on quality materials. The Spencer Dining Table is an entertaining essential. Showcasing a teak wood slat top and durable powder coated aluminum legs, the Spencer is for those who love the details. Available in two sizes and base options."
Outdoor,Gallus Side Table,"A spectacle of sculptural figures and durable, natural materials come together to form harmoniously in the Gallus Side Table. Celebrating timeless elegance with its curved form and fluted detailing, the Gallus brings grace and sophistication to any space."
Outdoor,Linnea Outdoor Dining Chair,"Escape from city life with this simple modern design. The lovely Linnea Dining Chair is inspired by Scandinavian summers, with a natural minimalism that has the perfect touch of character. Constructed with durable performance fabric and beautiful Danish teak wood accents for longevity, perfect for your patio."
Outdoor,Jericho Sling Chair,"Take yourself on a journey of tranquility with the plush and inviting comfort of the Jericho Sling Chair. Offering a timeless silhouette, the Jericho creates a euphoric and sophisticated atmosphere in any outdoor space."
Outdoor,Florian Outdoor Lounger,"Revel in the captivating spirit of the Florian Outdoor Lounger. With its sleek silhouette and plush, cloud-like cushioning, the Florian evokes an atmosphere of sophisticated luxury. Featuring a built-in side table, perfect for unwinding with a glass of wine at the end of the day, the Florian is perfect for any outdoor space."
Outdoor,Louis Outdoor Sofa,"Dressed in structured lines and a durable black powder coated frame, the Louis Outdoor Sofa embodies relaxed, coastal-inspired expressions. Designed with comfort and durability in mind, the Louis collection features fast dry foam cushions in cool toned UV resistant fabric and teak wood accents; perfect for turning any outdoor space into a modern sanctuary."
Outdoor,Arya Outdoor Modular Sectional,"Recline into a unity of contemporary design and minimalist values with the Arya Outdoor Modular Sectional. Perfect for relaxing with a book or a glass of wine on a calm summer night. The plush back and seat elegantly curves inwards, brimming with layers of sumptuous cushioning. Uncluttered and endlessly inviting, this piece offers a deep seat and angled back to take advantage of a clean design and tempting cushions. The Arya embodies the fundamental elements of modern design and effortlessly adds sleekness to any outdoor setting."
Outdoor,Francis Outdoor Modular Sectional,Incorporate modern simplicity into any outdoor living space with our Francis Modular collection. Made of high performance materials and a built-in teak slat styled table; the Francis Modular is perfect for relaxing with a book or a glass of wine on a calm summer night.
Outdoor,Dresden Outdoor Modular Sectional,"Compelling in its simple yet cutting edge style, the Dresden Outdoor Modular Sectional brings a fresh perspective to contemporary outdoor living. The sleek, low profile frame is met with grand cloud-like seat cushions to create the statement making structure. The Dresden also balances the expansive seating with an interchangeable side table insert that is offered in white ceramic or black ceramic finishes. Grounded on aluminum metal legs, this piece's thoughtful composition demonstrates an exceptional opportunity for modern luxury in any outdoor space."
Dining & Kitchen,Elbow Chair,"Originally designed in 1956, this classic piece of Danish furniture entered mass production due to its functional design fit for the modern home. Attractive for its non-ostentatious profile, every feature is made with intent including the perfect angle of the curved back, ergonomically designed for human comfort. The Elbow chair is an ideal dining chair complete with an upholstered seat for increased comfort."
Dining & Kitchen,Elbow Chair - Woven,"Originally designed in 1956, this classic piece of Danish furniture entered mass production due to its functional design fit for the modern home. Attractive for its non-ostentatious profile, every feature is made with intent including the perfect angle of the curved back, ergonomically designed for human comfort. The Elbow chair is an ideal dining chair complete with a natural, paper cord seat for increased comfort."
Dining & Kitchen,Wishbone Barstool,"The Wishbone Bar Stool is a premium reproduction of one of the most classic designs from the mid-century modern era. A rare combination of natural and practical, its misleadingly complex construction stems from the designer's extensive knowledge of wood. The fluid lines and minimalist style create an airy feel while the Y-back creates a truly organic impression. The curving top rail and tapered legs are stunning additions to the comfortably flexible yet sturdy woven seat."
Dining & Kitchen,Mia Dining Chair,"Discover a sense of sophisticated luxury with the sculptural shape of the Mia Dining Chair. A fresh take on the traditional dining chair, the softly upholstered curves, and the intricate details of Mia creates a grandiose feel of modern elegance in any space."
Dining & Kitchen,Eleanor Dining Table,"An ode to modern design, the delicate composition of the Eleanor Dining Table captivates with its radiant, long-lasting marble top and architectural base. Inherently sophisticated and intriguing, the Eleanor adds a sense of timeless elegance to any space."
Dining & Kitchen,Solana Dining Chair,"Revealing its luxuriant character, the Solana invites you to delve into an atmosphere of pure sophistication with its curved form. Pairing sumptuously plush upholstery with a contrasting metal base, the Solana Dining Chair brings grace and modern luxury to any dining space. Combine with the Solana Dining Table for the ultimate entertaining space."
Dining & Kitchen,Athena Sideboard,"The modern, fresh, and captivating embodiment of the Athena Sideboard sweeps you into a whirlwind of delight and sophistication. Combining everyday functionality with unparalleled design through the elegant composition and luxuriant materials, the Athena softly brings a sense of refined grace to any space."
Dining & Kitchen,Osten Table,"Echoing a sense of nature the tranquil, contemporary shape and soft tones of the Osten Table creates an underlying feel of refined elegance. Expressed through the tambour base and oblong top, the Osten adds an atmosphere of warmth and radiance to any home."
Dining & Kitchen,Geno Dining Chair,"Delight in the sophisticated and delicate silhouette of the Geno Dining Chair. With the intricate, gleaming metal frame and beautifully curved back, the Geno unites everyday elegance with an understated design."
Dining & Kitchen,Athena Round Dining Table,"The modern, fresh, and captivating embodiment of the Athena Dining Table sweeps you into a whirlwind of delight and sophistication. Combining everyday functionality with unparalleled design through the elegant composition and luxuriant materials, the Athena softly brings a sense of refined grace to any dining space."
